LABEL,LowerBound,UpperBound
Auto Cluster #1,"February 14, 2020","November 14, 2020"
Auto Cluster #2,"February 21, 2020","November 29, 2020"
Auto Cluster #3,"March 5, 2020","July 31, 2020"
Auto Cluster #4,"July 16, 2020","February 13, 2021"
Auto Cluster #5,"September 4, 2020","February 6, 2021"
