LABEL,N,LowerBound,UpperBound
Auto Cluster #1,89,"February 14, 2020","November 29, 2020"
Auto Cluster #2,65,"February 15, 2020","February 13, 2021"
Auto Cluster #3,38,"February 16, 2020","November 14, 2020"
Auto Cluster #4,51,"February 24, 2020","February 11, 2021"
