LABEL,LowerBound,UpperBound
Auto Cluster #1,"February 14, 2020","November 14, 2020"
Auto Cluster #2,"February 21, 2020","August 23, 2020"
Auto Cluster #3,"April 2, 2020","August 1, 2020"
Auto Cluster #4,"July 16, 2020","February 11, 2021"
Auto Cluster #5,"August 24, 2020","February 12, 2021"
Auto Cluster #6,"September 19, 2020","February 13, 2021"
